user_id,recomendations
1,"[874972, 1132231, 1048918, 8293439, 1132771]"
2,"[874972, 1029743, 844179, 5569230, 916122]"
3,"[874972, 1029743, 1106523, 5569230, 916122]"
4,"[874972, 1029743, 5569230, 916122, 844179]"
5,"[874972, 1106523, 5569230, 916122, 844179]"
6,"[874972, 956672, 870315, 5569230, 1024306]"
7,"[874972, 986912, 898867, 1126899, 1122358]"
8,"[12172071, 1074333, 953561, 5569230, 1029743]"
9,"[874972, 864335, 889692, 1029743, 9297474]"
10,"[874972, 1029743, 5569230, 916122, 844179]"
11,"[874972, 1029743, 5569230, 916122, 844179]"
12,"[874972, 1029743, 5569230, 916122, 844179]"
13,"[874972, 992933, 961021, 1038985, 1132771]"
14,"[874972, 1122358, 952408, 1029743, 1025611]"
15,"[874972, 901062, 1092303, 1106523, 13073175]"
16,"[874972, 1082185, 1029743, 1106523, 5569230]"
17,"[948670, 832678, 978906, 5569471, 896085]"
18,"[878715, 5575861, 1104343, 1128477, 951412]"
19,"[874972, 6533608, 1074333, 13008334, 12946027]"
20,"[849202, 1013807, 1086740, 1075368, 1126899]"
21,"[874972, 5569230, 916122, 1029743, 844179]"
22,"[874972, 858439, 916758, 1082185, 1070820]"
23,"[1034176, 9487286, 969568, 1075368, 1029743]"
24,"[874972, 1101010, 986912, 921504, 1106523]"
25,"[874972, 12301100, 1070845, 1029743, 929018]"
26,"[874972, 961979, 13382327, 1042438, 1029743]"
27,"[1004436, 1082185, 1101589, 1046584, 949965]"
28,"[13416117, 13506200, 839243, 8090546, 916122]"
29,"[1065538, 1029743, 1106523, 5569230, 916122]"
30,"[12810389, 12946027, 6534480, 5585701, 1029743]"
31,"[982469, 1082990, 5570467, 1126899, 7169088]"
32,"[874972, 1004906, 8293440, 1024319, 878996]"
33,"[874972, 1106523, 1029743, 1106523, 5569230]"
34,"[874972, 1029743, 9835619, 1050851, 1081177]"
35,"[874972, 1029743, 1106523, 5569230, 916122]"
36,"[848029, 940947, 934172, 1029743, 865705]"
37,"[874972, 1067695, 1029743, 1106523, 5569230]"
38,"[874972, 1029743, 5569230, 916122, 844179]"
39,"[874972, 1025581, 1115098, 1127716, 1126899]"
40,"[961889, 932242, 13186440, 1083043, 1112205]"
41,"[874972, 1082185, 957951, 9419888, 865705]"
42,"[837569, 1051211, 1082185, 6602697, 839656]"
43,"[874972, 1106523, 1029743, 1106523, 5569230]"
44,"[874972, 1106523, 5569230, 916122, 844179]"
45,"[874972, 1029743, 5569230, 916122, 844179]"
46,"[850102, 1074333, 1046587, 862335, 1121360]"
47,"[7410217, 901397, 1055504, 865511, 1075175]"
48,"[9487498, 9835509, 1003257, 7410335, 880150]"
49,"[1054402, 1126899, 899201, 5569471, 1110111]"
50,"[874972, 1029743, 5569230, 916122, 844179]"
51,"[874972, 1106523, 5569230, 916122, 844179]"
52,"[904997, 1030182, 5564901, 972665, 1039627]"
53,"[874972, 5569471, 999858, 1029743, 1106523]"
54,"[874972, 1029743, 5569230, 916122, 844179]"
55,"[874972, 15926844, 935393, 1116589, 871756]"
56,"[874972, 985181, 890344, 5568072, 1101010]"
57,"[874972, 1106523, 6533608, 862725, 862070]"
58,"[874972, 1031419, 905636, 1055425, 5569471]"
59,"[12812261, 921504, 6034857, 1045586, 825749]"
60,"[874972, 1029743, 1106523, 5569230, 916122]"
61,"[874972, 1029743, 5569230, 916122, 844179]"
62,"[874972, 1029743, 5569230, 916122, 844179]"
63,"[874972, 1029743, 1106523, 5569230, 916122]"
64,"[1013928, 8090539, 8069230, 7152455, 1074333]"
65,"[874972, 5591814, 1029743, 1106523, 5569230]"
66,"[874972, 1029743, 5569230, 916122, 844179]"
67,"[1118946, 1110244, 934172, 965530, 971922]"
68,"[1013928, 1106523, 1110244, 1082990, 1101010]"
69,"[906335, 885290, 1013597, 1106523, 883003]"
70,"[874972, 1029743, 1106523, 5569230, 916122]"
71,"[1008288, 847790, 852856, 1056509, 12302069]"
72,"[874972, 889223, 6548453, 938596, 1070820]"
73,"[874972, 8090521, 1091858, 1070820, 1132956]"
74,"[874972, 890695, 1044078, 5569374, 1106523]"
75,"[874972, 1029743, 1106523, 5569230, 916122]"
